Program,Task_ID,Task_Name
MARLIN BP,MBP-1404,FNC2 RRO_SCRN_x removal (pull in)
MARLIN BP,MBP-1445,TTR: Remove PRE2 prm_282_hiResVCMBodeTemp (pull in)
MARLIN BP,MBP-1481,T102 PCBA_SCRN TTR (pull in)
MARLIN BP,MBP-1609,Remove PWT SF3 portion for weld before Cert (pull in)
MARLIN BP,MBP-1641,TTR: CERT portion Powercycle
MARLIN BP,MBP-1706,"TTR: T282 reduce ""idle time"""
MARLIN BP,MBP-1707,TTR: Further Test Time Reduction In T282 - Bode Convergence Check
MARLIN BP,MBP-1708,TTR - Reducing the SkDly in t135 from 20ms to 0ms
MARLIN BP,MBP-1352,Enable STFL on SMR
MARLIN BP,MBP-1224,T299: Disable Track Center Search
MARLIN BP,MBP-1383,Fast uJog in T299
MARLIN BP,MBP-1353,Write Process Restructuring: Fix to VBAR Laser Setup
MARLIN BP,MBP-1419,Test Time: T297 Data Trimming at PRE2
MARLIN BP,MBP-1419,Test Time: T297 Data Trimming at CAL2
MARLIN BP,MBP-972,PROZ   (note: PROZ chg is in PCO 5.0.4)
MARLIN BP,MBP-1444,T282 C0 sensitivity opti
MARLIN BP,MBP-1525,Erasure Testing - Fast Write Modes (T298/T299)
MARLIN BP,MBP-1718,TTR: To close TT gap (vs Marlin) - BER measurement
MARLIN BP,MBP-1739,T282 sensitivity projection optimization - data & test time reduction
MARLIN BP,MBP-1671,TTR - Radical malloc eval
MARLIN BP,MBP-1846,LASER_INIT test process optimization
MARLIN BP,MBP-1625,ZAP Seek Path Optimization
MARLIN BP,MBP-1602,SPFS T2108 Read TTR by increasing CertTrkStep (SkInc) to 75 from default 30 (CMR only)
MARLIN BP,MBP-1704,Reduce redundant zones test of VBAR_ATI
MARLIN BP,MBP-1852,Removal of Offset Search & Channel Training Reads
MARLIN BP,MBP-1916,WP Optimization
MARLIN BP,MBP-1926,Optimize get ta rec for TA access and audit lookup
MARLIN BP,MBP-1774,Add DRAM screen while soaking test
MARLIN BP,MBP-1792,MarlinBP remove state (est. 43 hrs) ??
MARLIN BP,MBP-1856,T451 Derived Opti: Update Anchor zone behavior and set anchor zone mask
MARLIN BP,MBP-1815,FPW & SPFS Power Cycle Removal around LFA
MARLIN BP,MBP-1884,FPW removal
MARLIN BP,MBP-1887,FPW removal
MARLIN BP,Need Jira,POML all mode for SMR
MARLIN BP,MBP-1731,Scopy TA Scan Feed Forward
MARLIN BP,MBP-1705,"Project to remove UACT1 ""milli"" actuator"
MARLIN BP,Need Jira,T285 DRCM opti  (MarlinCT-1948)
MARLIN BP,Need Jira,WP opti Prediction
MARLIN BP,Need Jira,XBAR   (MarlinCT-576)
MARLIN BP,Need Jira,"VBAR ATI predict	 ?(Summit-1179)?		"
MARLIN BP,Need Jira,Remove PWT opti
MARLIN BP,Need Jira,VBAR Laser Predition
MARLIN BP,MBP-,Skip track certify CMR (can we pull in 1 qtr)/ (MarlinCT-1980)
MARLIN BP,MBP-1730,SMR Format removal (SMR only)
MARLIN BP,MBP-1909,T55 with independent ZAP track (can we pull in?
MARLIN BP,need jira,Z-path (5hrs?) (can it pull in before Q3? - Mingzhong
MARLIN BP,MBP-1931,10k RPM eval at SPIN OPER (Soak Time reduction eval)
MARLIN BP,MBP-1488,T451 Random Pattern Generation 5% TTR (when?)
MARLIN BP,MBP-1501,3rev to 2rev ZAP 30TBLV Meta (30 hrs but won't intersect in time for Meta)
MARLIN BP,MBP-1759,3rev to 2rev ZAP 30TBLV Meta (30 hrs but won't intersect in time for Meta)
MARLIN BP,MBP-1760,3rev to 2rev ZAP 30TBLV Meta (30 hrs but won't intersect in time for Meta)
MARLIN BP,MBP-1405,FNC2 T150 Linearization monitor (1.2) (1hr?)
MARLIN BP,Need Jira,Optimize FPW by Bank write Phase2 (cosider in Marlin rmv state) - (FPW removal instead)
MARLIN BP,MBP-1013,NDS in parallel with soak (anneal) (9H heads only)
MARLIN BP,MBP-1403,PRE2 GMR_RES_2x monitor (0.2)
MARLIN BP,MBP-1236,T461 AC Erase Support
MARLIN BP,MBP-1307,Reduce drive off time
MARLIN BP,MBP-1199,Update BPI/TPI FMT via PC file
