Product_Code,Product_Name,Config_Code,Config_Description,Product_Owner,Notes
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
DORADO,DORADO,,,,auto-created from task_master
EVANS BP SATA,EVANS BP SATA,,,,auto-created from task_master
EVANS SATA,EVANS SATA,,,,auto-created from task_master
IOMQM,IOMQM,,,,auto-created from task_master
LONGSPEAK BP SATA,LONGSPEAK BP SATA,,,,auto-created from task_master
LONGSPEAK SAS,LONGSPEAK SAS,,,,auto-created from task_master
LONGSPEAK SATA,LONGSPEAK SATA,,,,auto-created from task_master
MAKARA SATA,MAKARA SATA,,,,auto-created from task_master
MARLIN,MARLIN,,,,auto-created from task_master
MARLIN BP,MARLIN BP,,,,auto-created from task_master
OSPREY SAS,OSPREY SAS,,,,auto-created from task_master
SUMMIT,SUMMIT,,,,auto-created from task_master
