Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,GAIN,User_Review
excel_import,MARLIN BP,MBP-1404,,,2025-11-20,FNC2 RRO_SCRN_x removal (pull in),TTR,0.3,
excel_import,MARLIN BP,MBP-1445,,,2025-11-20,TTR: Remove PRE2 prm_282_hiResVCMBodeTemp (pull in),TTR,0.3,
excel_import,MARLIN BP,MBP-1481,,,2025-11-20,T102 PCBA_SCRN TTR (pull in),TTR,2,
excel_import,MARLIN BP,,Implemented FW2613 (PCO4.2.13),,2025-11-20,4.10) PCO 4.2.12,TTR,0,
excel_import,MARLIN BP,MBP-1609,,,2025-11-20,Remove PWT SF3 portion for weld before Cert (pull in),TTR,2,
excel_import,MARLIN BP,MBP-1641,,,2025-11-20,TTR: CERT portion Powercycle,TTR,1.5,
excel_import,MARLIN BP,MBP-1706,,,2025-11-20,"TTR: T282 reduce ""idle time""",TTR,9,
excel_import,MARLIN BP,MBP-1707,,,2025-11-20,TTR: Further Test Time Reduction In T282 - Bode Convergence Check,TTR,6,
excel_import,MARLIN BP,MBP-1708,,,2025-11-20,TTR - Reducing the SkDly in t135 from 20ms to 0ms,TTR,5,
excel_import,MARLIN BP,MBP-1352,,DC / Korat PE,2025-11-20,Enable STFL on SMR,TTR,30,
excel_import,MARLIN BP,,Implemented FW2616 (PCO 4.2.15),,2025-11-20,4.11) PCO 4.2.14,TTR,,
excel_import,MARLIN BP,,,,2025-11-20,Remove T299_DS_ATI at FNC2,TTR,,
excel_import,MARLIN BP,,,,2025-11-20,4.13) PCO 5.0.0 - 5.0.1,TTR,0,
excel_import,MARLIN BP,MBP-1383,,DC,2025-11-20,Fast uJog in T299,TTR,2,
excel_import,MARLIN BP,MBP-1419,,DC,2025-11-20,Test Time: T297 Data Trimming at PRE2,TTR,1,
excel_import,MARLIN BP,MBP-1419,,DC,2025-11-20,Test Time: T297 Data Trimming at CAL2,TTR,0.7,
excel_import,MARLIN BP,,PCO 5.0.4 mplemented WW20,,2025-11-20,4.14) PCO 5.0.3 - 5.0.4,TTR,0,
excel_import,MARLIN BP,MBP-972,,DC,2025-11-20,PROZ   (note: PROZ chg is in PCO 5.0.4),TTR,100,
excel_import,MARLIN BP,MBP-1444,,,2025-11-20,T282 C0 sensitivity opti,TTR,7,
excel_import,MARLIN BP,MBP-1525,,,2025-11-20,Erasure Testing - Fast Write Modes (T298/T299),TTR,3,
excel_import,MARLIN BP,MBP-1718,,,2025-11-20,TTR: To close TT gap (vs Marlin) - BER measurement,TTR,5,
excel_import,MARLIN BP,MBP-1739,,,2025-11-20,T282 sensitivity projection optimization - data & test time reduction,TTR,0,
excel_import,MARLIN BP,,"Released WW17, Checkout 6H WW20,",,2025-11-20,4.15) PCO 5.0.5,TTR,,
excel_import,MARLIN BP,MBP-1671,,,2025-11-20,TTR - Radical malloc eval,TTR,10.5,
excel_import,MARLIN BP,MBP-1846,,Korat FW,2025-11-20,LASER_INIT test process optimization,TTR,1,
excel_import,MARLIN BP,MBP-1625,,,2025-11-20,ZAP Seek Path Optimization,TTR,3.6,
excel_import,MARLIN BP,,,,2025-11-20,4.16) PCO 5.0.6,TTR,,
excel_import,MARLIN BP,MBP-1602,,,2025-11-20,SPFS T2108 Read TTR by increasing CertTrkStep (SkInc) to 75 from default 30 (CMR only),TTR,0.6,
excel_import,MARLIN BP,MBP-1704,,,2025-11-20,Reduce redundant zones test of VBAR_ATI,TTR,2,
