Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,GAIN,Impact oper,User_Review,Merge_Action,TARGET_PCO,IMPLEMENT_PCO,Business_Key,Task_ID_Source,Title,Status_Raw,Owner_Raw,Updated_TS_Raw,Last_Sync_TS
excel_import,MARLIN BP,MBP-1404,,,11/18/2025,FNC2 RRO_SCRN_x removal (pull in),TTR,0.3,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1445,,,11/18/2025,TTR: Remove PRE2 prm_282_hiResVCMBodeTemp (pull in),TTR,0.3,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1481,,,11/18/2025,T102 PCBA_SCRN TTR (pull in),TTR,2,,,modified,,,,,,,,,
excel_import,MARLIN BP,,Implemented FW2613 (PCO4.2.13),,11/18/2025,4.10) PCO 4.2.12,TTR,0,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1609,,,11/18/2025,Remove PWT SF3 portion for weld before Cert (pull in),TTR,2,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1641,,,11/18/2025,TTR: CERT portion Powercycle,TTR,1.5,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1706,,,11/18/2025,"TTR: T282 reduce ""idle time""",TTR,9,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1707,,,11/18/2025,TTR: Further Test Time Reduction In T282 - Bode Convergence Check,TTR,6,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1708,,,11/18/2025,TTR - Reducing the SkDly in t135 from 20ms to 0ms,TTR,5,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1352,,DC / Korat PE,11/18/2025,Enable STFL on SMR,TTR,30,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1224,1.2,DC TP/ARS,11/18/2025,T299: Disable Track Center Search,TTR,1.2,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1383,,DC,11/18/2025,Fast uJog in T299,TTR,2,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1353,,DC,11/18/2025,Write Process Restructuring: Fix to VBAR Laser Setup,TTR,3,,,modified,,,,,,,,,
excel_import,MARLIN BP,MBP-1419,,DC,11/18/2025,Test Time: T297 Data Trimming at PRE2,TTR,1.5,,,modified,,,,,,,,,
