Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,Business_Key,Import_Batch_ID,Import_TS,Change_Type,Snapshot_Signature,Notes,Reviewed_Flag
jira_issues,SUMMIT,SUMMIT-2361,Open,Michael Foster,2025-11-08T05:47:24+08:00,test mmm ok,TTR,jira_issues|summit|summit-2364,20251116-140537,2025-11-16T14:05:37,NEW,open|michael foster|yip8 for summit rseed|ttr,,
jira_issues,SUMMIT,SUMMIT-2361,Open,Michael Foster,2025-11-08T05:47:24+08:00,test mmm ok,TTR,jira_issues|summit|summit-2364,20251116-140537,2025-11-16T14:05:37,NEW,open|michael foster|yip8 for summit rseed|ttr,,
jira_issues,SUMMIT,SUMMIT-2359,Closed,Gronggaew (GG) Boonjuang,2025-10-23T09:34:05+08:00,ok,TTR,jira_issues|summit|summit-2359,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|evaluate modification of active servo flaw table (asft) build algorithm|ttr,,
jira_issues,SUMMIT,SUMMIT-2355,Open,xxxx,ggg,TTR: TOPAZ ,TTR,jira_issues|summit|summit-2355,20251116-140537,2025-11-16T14:05:37,NEW,open|luh chyuan lau|ttr: topaz w/ proz integration|ttr,,
jira_issues,SUMMIT,SUMMIT-2347,SME Verification,Gronggaew (GG) Boonjuang,2025-09-26T18:03:34+08:00,PCO Item - PCO3.7.4B,TTR,jira_issues|summit|summit-2347,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|gronggaew (gg) boonjuang|pco item - pco3.7.4b|ttr,,
jira_issues,SUMMIT,SUMMIT-2345,Reopened,Kwan Ng Loke,test,"enableDiags, Powercycle",TTR,jira_issues|summit|summit-2345,20251116-140537,2025-11-16T14:05:37,NEW,"reopened|kwan ng loke|ttr: pwt optimization: dnld_code, enablediags, powercycle|ttr",,
jira_issues,SUMMIT,SUMMIT-2334,Closed,Gronggaew (GG) Boonjuang,2025-09-09T22:34:12+08:00,PCO Item - PCO3.7.3A_EFL2C2,TTR,jira_issues|summit|summit-2334,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|pco item - pco3.7.3a_efl2c2|ttr,,
jira_issues,SUMMIT,SUMMIT-2333,SME Verification,Gronggaew (GG) Boonjuang,2025-09-09T19:17:29+08:00,PCO Item - PCO3.7.3A_EFL2B4,TTR,jira_issues|summit|summit-2333,20251116-140537,2025-11-16T14:05:37,NEW,sme verification|gronggaew (gg) boonjuang|pco item - pco3.7.3a_efl2b4|ttr,,
jira_issues,SUMMIT,SUMMIT-2331,Closed,Michael Foster,2025-09-05T08:33:10+08:00,TTR: T461 Test Zone Aligment,TTR,jira_issues|summit|summit-2331,20251116-140537,2025-11-16T14:05:37,NEW,closed|michael foster|ttr: t461 test zone aligment|ttr,,
jira_issues,SUMMIT,SUMMIT-2330,Closed,Gronggaew (GG) Boonjuang,2025-09-04T18:32:13+08:00,PCO Item - PCO3.7.3GD,TTR,jira_issues|summit|summit-2330,20251116-140537,2025-11-16T14:05:37,NEW,closed|gronggaew (gg) boonjuang|pco item - pco3.7.3gd|ttr,,
