Business_Key,Source,Program,Task_ID,Status,User_Name,Date_Time,Task_Name,Improvement_Type,Change_Type,Import_Batch_ID,Import_TS,Reviewed_Flag
jira_issues|dorado|dorado-905,jira_issues,DORADO,DORADO-905,Open,,2025-07-02T01:05:56+08:00,Implement POML on Dorado,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin|marlinct-2089,jira_issues,MARLIN,MARLINCT-2089,Resolved,,2025-07-17T22:55:06+08:00,PROZ improvement Trunk CLs (July'2025),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1718,jira_issues,MARLIN BP,MBP-1718,Resolved,,2025-07-18T08:57:22+08:00,TTR: To close TT gap (vs Marlin) - BER measurement,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2266,jira_issues,SUMMIT,SUMMIT-2266,Closed,,2025-07-25T14:32:52+08:00,TTR malloc on Goby,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2268,jira_issues,SUMMIT,SUMMIT-2268,Closed,,2025-07-25T20:16:46+08:00,TTR: PROZ: Enable PROZ for CMR ZAP only.,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1007,jira_issues,DORADO,DORADO-1007,Open,,2025-07-26T00:18:25+08:00,Evaluate impact of integrating zone dependent default Wpower  ,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1730,jira_issues,MARLIN BP,MBP-1730,Resolved,,2025-07-26T03:41:43+08:00,SMR Format Removal Evaluation,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2269,jira_issues,SUMMIT,SUMMIT-2269,In Progress,,2025-07-28T15:42:23+08:00,TTR: Radical Rap Test Time Improvement,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1731,jira_issues,MARLIN BP,MBP-1731,In Progress,,2025-07-28T23:32:32+08:00,"Move From Trunk To Branch The Feature ""Scopy TA Feedforward to PRE2""",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1011,jira_issues,DORADO,DORADO-1011,In Progress,,2025-07-29T02:50:57+08:00,Scopy TA Feedforward,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2272,jira_issues,SUMMIT,SUMMIT-2272,Closed,,2025-07-29T16:26:59+08:00,TTR: Reduce num write of zone 0 at VBAR_ATI,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2273,jira_issues,SUMMIT,SUMMIT-2273,Closed,,2025-07-29T16:49:37+08:00,TTR: T240 TEST ZONE by Condition #Phase2,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2274,jira_issues,SUMMIT,SUMMIT-2274,Closed,,2025-07-29T17:13:33+08:00,"CLONE - TTR: FINE_UJOG_INIT GobyLite (for PK1, unlock condition)",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1734,jira_issues,MARLIN BP,MBP-1734,Resolved,,2025-07-30T00:03:02+08:00,CLONE - PROZ improvement Trunk CLs (July'2025),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1015,jira_issues,DORADO,DORADO-1015,Resolved,,2025-07-30T03:20:14+08:00,Skip track certify in format (TTR),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|summit|summit-2276,jira_issues,SUMMIT,SUMMIT-2276,Closed,,2025-07-31T02:01:48+08:00,TTR: Further improvements on TTR in VBAR_METRICS,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|marlin bp|mbp-1739,jira_issues,MARLIN BP,MBP-1739,Resolved,,2025-07-31T06:20:11+08:00,T282 sensitivity projection optimization - data & test time reduction,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1021,jira_issues,DORADO,DORADO-1021,Resolved,,2025-07-31T14:53:21+08:00,Overhead reduction in SetSysZoneIop(),TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1022,jira_issues,DORADO,DORADO-1022,Reopened,,2025-07-31T22:30:39+08:00,TTR for IVBAR,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1023,jira_issues,DORADO,DORADO-1023,Open,,2025-07-31T23:00:23+08:00,"TTR: T211: LZR: Evaluate reducing 6,6 write count to 3,3 and 1,1.  Compensate TPIpicks with reduction in TpiSFR threshold",TTR,NEW,20251119-064203,2025-11-19T06:42:03,
jira_issues|dorado|dorado-1029,jira_issues,DORADO,DORADO-1029,Open,,2025-08-01T09:27:36+08:00,Removal of NDS ,TTR,NEW,20251119-064203,2025-11-19T06:42:03,
